Coin,Side,Type,Amount(Fee included),Fee,Time,Remark
BTC,Withdrawal,TRADE_EXCHANGE,0.01,0,2020/04/20 08:46:34,
BTC,Withdrawal,TRADE_EXCHANGE,0.001,0,2020/04/20 08:33:00,
BTC,Withdrawal,TRADE_EXCHANGE,0.004,0,2020/04/20 08:33:00,
BTC,Withdrawal,TRADE_EXCHANGE,0.005,0,2020/04/20 08:33:00,
BTC,Deposit,TRADE_EXCHANGE,0.005024417101452,0.000005029446548,2020/04/15 17:52:47,
BTC,Deposit,TRADE_EXCHANGE,0.000005076827091,0.000000005081909,2020/04/15 17:52:47,
BTC,Deposit,TRADE_EXCHANGE,0.006674191064064,0.000006680871936,2020/04/15 17:52:45,
BTC,Withdrawal,TRADE_EXCHANGE,0.006884811148215,0.000006877933215,2020/04/13 15:18:41,
BTC,Withdrawal,TRADE_EXCHANGE,0.01242674928495,0.00001241433495,2020/04/13 15:18:41,
BTC,Withdrawal,TRADE_EXCHANGE,0.003929011838752,0.000003925086752,2020/04/13 15:18:39,
BTC,Deposit,TRADE_EXCHANGE,0.01123453358064,0.00001124577936,2020/04/13 15:18:37,
BTC,Deposit,TRADE_EXCHANGE,0.012006041932008,0.000012018059992,2020/04/13 15:18:35,